"""Procedimento"";""Quantidade aprovada"";""Valor aprovado"""
"""0416030149 RESSECCAO EM CUNHA DE LABIO E SUTURA EM ONCOLOGIA"";1932;887739,86"
"""0416030157 RESSECCAO PARCIAL DE LABIO COM ENXERTO OU RETALHO EM ONCOLOGIA"";2644;2488390,91"
"""0416030165 RESSECCAO TOTAL DE LABIO E RECONSTRUCAO COM RETALHO MIOCUTANEO EM ONCOLOGIA"";1138;2346536,91"
"""0416030173 MAXILECTOMIA PARCIAL EM ONCOLOGIA"";3314;15014668,48"
"""0416030181 MAXILECTOMIA TOTAL EM ONCOLOGIA"";936;5391376,74"
"""0416030190 PELVIGLOSSOMANDIBULECTOMIA EM ONCOLOGIA"";6391;55333149,88"
"""0416030203 PAROTIDECTOMIA TOTAL AMPLIADA EM ONCOLOGIA"";1420;6295507,74"
"""0416030211 FARINGECTOMIA PARCIAL EM ONCOLOGIA"";4683;12695166,09"
"""0416030220 FARINGECTOMIA TOTAL EM ONCOLOGIA"";434;1453069,45"
"""0416030238 RESSECCAO DE TUMOR DE RINOFARINGE EM ONCOLOGIA"";825;2053427,29"
"""0416030246 EXENTERACAO DE ORBITA EM ONCOLOGIA"";1227;1592909,49"
"""0416030254 LARINGECTOMIA PARCIAL EM ONCOLOGIA"";7885;19716601,18"
"""0416030262 LARINGECTOMIA TOTAL EM ONCOLOGIA"";4839;32542838,63"
"""0416030270 TIREOIDECTOMIA TOTAL EM ONCOLOGIA"";41821;143707251,19"
"""0416030289 RECONSTRUCAO PARA FONACAO EM ONCOLOGIA"";2573;2745383,78"
"""0416030297 TRAQUEOSTOMIA TRANSTUMORAL EM ONCOLOGIA"";8143;8447718,22"
"""0416030300 MANDIBULECTOMIA PARCIAL EM ONCOLOGIA"";2043;10621411,95"
"""0416030319 MANDIBULECTOMIA TOTAL EM ONCOLOGIA"";134;923519,96"
"""0416030327 RESSECCAO DE PAVILHAO AURICULAR EM ONCOLOGIA"";3673;3546875,47"
"""0416030335 LIGADURA DE CAROTIDA EM ONCOLOGIA"";738;791833,25"
"""0416030343 RESSECCAO DE TUMOR GLOMICO EM ONCOLOGIA"";202;212062,46"
"""0416030351 RESSECCAO DE LESAO MALIGNA DE MUCOSA BUCAL EM ONCOLOGIA"";3422;4295564,42"
"""0416030360 RESSECCAO DE TUMOR TIREOIDIANO POR VIA TRANSESTERNAL EM ONCOLOGIA"";137;658908,88"
"""0416040012 ANASTOMOSE BILEO-DIGESTIVA EM ONCOLOGIA"";3969;5653059,50"
"""0416040020 COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA EM ONCOLOGIA"";1254;2793010,27"
"""0416040039 ESOFAGOGASTRECTOMIA COM TORACOTOMIA EM ONCOLOGIA"";2489;15731674,09"
"""0416040047 ESOFAGOCOLOPLASTIA OU ESOFAGOGASTROPLASTIA EM ONCOLOGIA"";291;1331697,83"
"""0416040055 ESOFAGOGASTRECTOMIA TRANS -HIATAL EM ONCOLOGIA"";1725;8065886,24"
"""0416040071 GASTRECTOMIA TOTAL EM ONCOLOGIA"";10063;42041637,53"
"""0416040101 HEPATECTOMIA PARCIAL EM ONCOLOGIA"";8989;21758779,04"
"""0416040110 PANCREATECTOMIA PARCIAL EM ONCOLOGIA"";3678;15151535,22"
"""0416040128 DUODENOPANCREATECTOMIA EM ONCOLOGIA"";7260;45379396,59"
"""0416040144 RESSECCAO DE TUMOR RETROPERITONIAL COM RESSECCAO DE ORGAOS CONTIGUOS EM ONCOLOGIA"";5724;44483036,06"
"""0416040179 ALCOOLIZACAO PERCUTANEA DE CARCINOMA HEPATICO"";424;372279,47"
"""0416040187 TRATAMENTO DE CARCINOMA HEPATICO POR RADIOFREQUENCIA"";1316;1350326,13"
"""0416040195 QUIMIOEMBOLIZACAO DE CARCINOMA HEPATICO"";7465;8276544,55"
"""0416040209 LAPAROTOMIA EXPLORADORA COM RESSECCAO COMPLETA OU INCOMPLETA DO TUMOR EM ONCOLOGIA"";25160;131779567,19"
"""0416040217 GASTRECTOMIA PARCIAL EM ONCOLOGIA"";16192;55131756,36"
"""0416040225 METASTASECTOMIA HEPATICA EM ONCOLOGIA"";6034;9902709,65"
"""0416040233 COLECISTECTOMIA EM ONCOLOGIA"";1859;2828120,19"
"""0416040241 RESSECCAO AMPLIADA DE VIA BILIAR EXTRA-HEPATICA EM ONCOLOGIA"";537;1046642,61"
"""0416040250 RESSECCAO DE TUMOR RETROPERITONIAL EM ONCOLOGIA"";6021;36368793,03"
"""0416040268 RESSECCAO ALARGADA DE TUMOR DE PARTES MOLES DE PAREDE ABDOMINAL EM ONCOLOGIA"";2375;18002258,45"
"""0416040276 RESSECCAO ALARGADA DE TUMOR DE INTESTINO EM ONCOLOGIA"";8136;47618047,15"
"""0416040284 IMPLANTACAO ENDOSCOPICA DE STENT ESOFAGICO"";1011;2872148,34"
"""0416040292 PERITONECTOMIA EM ONCOLOGIA"";415;3272173,09"
"""0416040306 QUIMIOPERFUSAO INTRAPERITONEAL HIPERTERMICA"";145;3256220,05"
"""0416040314 GASTRECTOMIA VIDEOLAPAROSCOPICA EM ONCOLOGIA"";117;1260724,65"
"""0416040322 ESOFAGOGASTRECTOMIA VIDEOLAPAROSCOPICA EM ONCOLOGIA"";47;563207,03"
"""0416040330 LAPARATOMIA EXPLORADORA VIDEOLAPAROSCOPICA EM ONCOLOGIA"";570;2585269,06"
"""0416040349 PANCREATECTOMIA PARCIAL VIDEOLAPAROSCOPICA EM ONCOLOGIA"";39;332232,07"
"""0416050018 AMPUTACAO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA"";6511;42219513,83"
"""0416050026 COLECTOMIA PARCIAL (HEMICOLECTOMIA) EM ONCOLOGIA"";35364;79629503,96"
"""0416050034 COLECTOMIA TOTAL EM ONCOLOGIA"";3367;24384849,92"
"""0416050050 EXCISAO LOCAL DE TUMOR DO RETO EM ONCOLOGIA"";3107;3693073,77"
"""0416050077 RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA"";54399;337317143,56"
"""0416050093 EXENTERACAO PELVICA POSTERIOR EM ONCOLOGIA"";2004;12326900,99"
"""0416050107 EXENTERACAO PELVICA TOTAL EM ONCOLOGIA"";1655;12833687,49"
"""0416050115 PROCTOCOLECTOMIA TOTAL EM ONCOLOGIA"";911;5779599,29"
"""0416050123 COLECTOMIA VIDEOLAPAROSCOPICA EM ONCOLOGIA"";365;4773982,30"
"""0416060013 AMPUTACAO CONICA DO COLO DO UTERO EM ONCOLOGIA"";15925;35296908,17"
"""0416060021 ANEXECTOMIA UNI / BILATERAL EM ONCOLOGIA"";17512;29244432,22"
"""0416060030 COLPECTOMIA EM ONCOLOGIA"";1736;2217648,98"
"""0416060056 HISTERECTOMIA COM RESSECCAO DE ORGAOS CONTIGUOS EM ONCOLOGIA"";11921;68765976,32"
"""0416060064 HISTERECTOMIA TOTAL AMPLIADA EM ONCOLOGIA"";25876;165117457,96"
"""0416060080 TRAQUELECTOMIA RADICAL EM ONCOLOGIA"";6234;38606221,08"
"""0416060099 VULVECTOMIA TOTAL AMPLIADA C/ LINFADENECTOMIA EM ONCOLOGIA"";1274;7713625,23"
"""0416060102 VULVECTOMIA PARCIAL EM ONCOLOGIA"";4155;5796452,07"
"""0416060110 HISTERECTOMIA COM OU SEM ANEXECTOMIA (UNI / BILATERAL) EM ONCOLOGIA"";33945;87532497,88"
"""0416060129 LAPAROTOMIA PARA AVALIACAO DE TUMOR DE OVARIO EM ONCOLOGIA"";31931;171580781,12"
"""0416060137 HISTERECTOMIA VIDEOLAPAROSCOPICA CO OU SEM ANEXECTOMIA (UNI/BILATERAL) EM ONCOLOGIA"";419;2761055,67"
"""0416080014 EXCISAO E ENXERTO DE PELE EM ONCOLOGIA"";18442;8586120,93"
"""0416080030 EXCISAO E SUTURA DE LESAO NA PELE COM PLASTICA EM Z OU ROTACAO DE RETALHO EM ONCOLOGIA"";111887;54284150,51"
"""0416080081 RECONSTRUCAO COM RETALHO MIOCUTANEO (QUALQUER PARTE) EM ONCOLOGIA"";157757;565602039,11"
"""0416080090 RECONSTRUCAO POR MICROCIRURGIA (QUALQUER PARTE) EM ONCOLOGIA"";1946;8217276,68"
"""0416080111 RECONSTRUCAO COM RETALHO OSTEOMIOCUTANEO EM ONCOLOGIA"";706;3117487,47"
"""0416080120 EXTIRPACAO MULTIPLA DE LESAO DA PELE OU TECIDO CELULAR SUBCUTANEO EM ONCOLOGIA"";53834;37072250,98"
"""0416090010 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES EM ONCOLOGIA"";4417;14791955,31"
"""0416090028 AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES EM ONCOLOGIA"";1788;5931005,50"
"""0416090036 HEMIPELVECTOMIA EM ONCOLOGIA"";416;1533734,45"
"""0416090079 SACRALECTOMIA (ENDOPELVECTOMIA) EM ONCOLOGIA"";272;1590996,79"
"""0416090109 RESSECCAO DE TUMOR OSSEO COM SUBSTITUICAO (ENDOPROTESE) OU COM RECONSTRUCAO E FIXACAO EM ON"";8232;30068343,75"
"""0416090117 DESARTICULACAO INTERESCAPULO-TORACICA EM ONCOLOGIA"";177;664847,92"
"""0416090125 DESARTICULACAO ESCAPULO-TORACICA INTERNA EM ONCOLOGIA"";82;391914,08"
"""0416090133 RESSECCAO DE TUMOR DE PARTES MOLES EM ONCOLOGIA"";81872;373181538,25"
"""0416110010 LOBECTOMIA PULMONAR EM ONCOLOGIA"";8417;33223247,96"
"""0416110029 PNEUMOMECTOMIA RADICAL EM ONCOLOGIA"";504;3036082,83"
"""0416110037 TORATECTOMIA EM ONCOLOGIA"";1333;8628524,67"
"""0416110045 TORACECTOMIA SIMPLES EM ONCOLOGIA"";1802;8190584,35"
"""0416110053 TORACOTOMIA/MEDIASTINOSTOMIA EXPLORADORA COM RESSECCAO COMPLETA OU INCOMPLETA DO TUMOR INTRATORACI"";4261;10622524,24"
"""0416110061 SEGMENTECTOMIA PULMONAR EM ONCOLOGIA"";10354;36737817,85"
"""0416110070 RESSECCAO PULMONAR EM CUNHA EM ONCOLOGIA"";1484;4669198,61"
"""0416110088 TIMECTOMIA EM ONCOLOGIA"";575;2781144,85"
"""0416120024 MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA"";53501;149449804,38"
"""0416120032 MASTECTOMIA SIMPLES EM ONCOLOGIA"";39060;87828575,44"
"""0416120040 RESSECCAO DE LESAO NAO PALPAVEL DE MAMA COM MARCACAO EM ONCOLOGIA (POR MAMA)"";39565;71493956,60"
"""0416120059 SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA"";147199;288863599,19"
"""0417010010 ANESTESIA OBSTETRICA P/ CESARIANA"";-;226096576,60"
"""0417010028 ANALGESIA OBSTETRICA P/ PARTO NORMAL"";-;34128546,53"
"""0417010036 ANESTESIA OBSTETRICA P/CESARIANA EM GESTACAO DE ALTO RISCO"";-;100496389,98"
"""0417010044 ANESTESIA GERAL"";-;24587514,00"
"""0417010052 ANESTESIA REGIONAL"";-;45867485,76"
"""0417010060 SEDACAO"";-;9320955,70"
"""0418010056 IMPLANTE DE CATETER DUPLO LUMEN NA IRA (INCLUI CATETER)"";389653;69615330,10"
"""0418010072 IMPLANTE DE CATETER TENCKHOFF OU SIMILAR DE LONGA PERMANENCIA NA IRA (INCLUI CATETER)"";15247;3517337,12"
"""0501030069 COLETA E ACONDICIONAMENTO DE MEDULA OSSEA NO BRASIL PARA TRANSPLANTE AUTOGENICO OU DE DOADOR APARENT"";4213;24668602,12"
"""0501040021 IDENTIFICACAO DE DOADOR FALECIDO DE RIM / PANCREAS E RIM-PANCREAS"";6;2625,00"
"""0501040064 PROVAS CRUZADAS EM RECEPTORES DE DOADORES FALECIDOS (CROSS MATCH)"";45;15067,30"
"""0501040080 IDENTIFICACAO DE DOADOR FALECIDO DE ORGAOS"";67;76792,00"
"""0501060014 ANGIOGRAFIA CEREBRAL P/ DIAGNOSTICO DE MORTE ENCEFALICA (4 VASOS)"";5358;-"
"""0501060022 CINTILOGRAFIA RADIOISOTOPICA CEREBRAL P/ DIAGNOSTICO DE MORTE ENCEFALICA"";1068;-"
"""0501060030 ECO DOPPLER COLORIDO CEREBRAL P/ DIAGNOSTICO DE MORTE ENCEFALICA"";18548;-"
"""0501060049 ELETROENCEFALOGRAMA P/ DIAGNOSTICO DE MORTE ENCEFALICA"";12587;-"
"""0501060057 EXAME COMPLEMENTAR PARA DIAGNOSTICO DE MORTE ENCEFALICA"";35446;21267600,00"
"""0501070028 SOROLOGIA DE POSSIVEL DOADOR DE ORGAO OU TECIDO EXCETO CORNEA"";10705;1991130,00"
"""0501070036 TIPAGEM SANGUINEA ABO E OUTROS EXAMES HEMATOLOGICOS EM POSSIVEL DOADOR DE ORGAOS"";21960;329400,00"
"""0501080015 BIOPSIA E EXAME ANATOMO-CITOPATOLOGICO EM PACIENTE TRANSPLANTADO"";18299;642150,25"
"""0501080023 CONTAGEM DE CD4/CD3 EM PACIENTE TRANSPLANTADO"";1325;99506,25"
"""0501080031 DOSAGEM DE CICLOSPORINA (EM PACIENTE TRANSPLANTADO)"";38372;2008176,83"
"""0501080040 DOSAGEM DE SIROLIMO (EM PACIENTE TRANSPLANTADO)"";18309;984161,36"
"""0501080058 DOSAGEM DE TACROLIMO (EM PACIENTE TRANSPLANTADO)"";205327;10790361,92"
"""0501080066 EXAMES DE RADIOLOGIA EM PACIENTE TRANSPLANTADO"";20353;510115,00"
"""0501080074 EXAMES MICROBIOLOGICOS EM PACIENTE TRANSPLANTADO"";43016;648958,50"
"""0501080082 SOROLOGIA EM PACIENTE TRANSPLANTADO"";28102;565318,00"
"""0501080090 ULTRASSONOGRAFIA DE ORGAO TRANSPLANTADO"";20040;242937,60"
"""0501080104 DOSAGEM DE EVEROLIMO (EM PACIENTE TRANSPLANTADO)"";2810;148221,95"
"""0502010010 AVALIACAO CLINICA DE MORTE ENCEFALICA EM MAIOR DE 2 ANOS"";38102;8191930,00"
"""0502010029 AVALIACAO CLINICA DE MORTE ENCEFALICA EM MENOR DE 2 ANOS"";367;100925,00"
"""0503020010 HEPATECTOMIA PARCIAL P/ TRANSPLANTE (DOADOR VIVO)"";497;4541405,61"
"""0503020028 NEFROURETERECTOMIA UNILATERAL P/ TRANSPLANTE"";2822;7845272,98"
"""0503030015 MANUTENCAO HEMODINAMICA DE POSSIVEL DOADOR E TAXA DE SALA P/ RETIRADA DE ORGAOS"";22846;22699170,00"
"""0503030023 RETIRADA DE CORACAO (PARA TRANSPLANTE)"";-;2527496,84"
"""0503030031 RETIRADA DE CORACAO P/ PROCESSAMENTO DE VALVULA / TUBO VALVADO P/ TRANSPLANTE"";-;384072,00"
"""0503030040 RETIRADA DE FIGADO (PARA TRANSPLANTE)"";-;45959422,49"
"""0503030058 RETIRADA DE GLOBO OCULAR UNI / BILATERAL (P/ TRANSPLANTE)"";-;8341743,69"
"""0503030066 RETIRADA DE PANCREAS (PARA TRANSPLANTE)"";-;4008069,10"
"""0503030074 RETIRADA DE PULMOES (PARA TRANSPLANTE)"";-;1254627,14"
"""0503030082 RETIRADA UNI / BILATERAL DE RIM (PARA TRANSPLANTE) - DOADOR FALECIDO"";-;30471746,07"
"""0503030090 RETIRADA DE TECIDO OSTEO -FASCIO-CONDRO- LIGAMENTOSO"";359;420030,00"
"""0503030104 RETIRADA DE PELE PARA TRANSPLANTE"";382;446940,00"
"""0503040010 COORDENACAO DE SALA CIRURGICA P/ RETIRADA DE ORGAOS E TECIDOS P/ TRANSPLANTE"";22700;10365280,00"
"""0503040029 DESLOCAMENTO INTERESTADUAL DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS"";-;1541340,00"
"""0503040037 DESLOCAMENTO DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS - INTERMUNICIPAL"";-;5488807,50"
"""0503040045 DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE PROVAVEL DOADOR DE ORGAOS"";23939;12176093,57"
"""0503040053 ENTREVISTA FAMILIAR P/ DOACAO DE ORGAOS DE DOADORES EM MORTE ENCEFALICA"";38739;18368343,00"
"""0503040061 ENTREVISTA FAMILIAR PARA DOACAO DE TECIDOS DE DOADORES COM CORACAO PARADO"";20213;9213855,00"
"""0503040088 CAPTACAO DE ORGAO EFETIVAMENTE TRANSPLANTADO"";36966;11138270,00"
"""0504010018 CONTAGEM DE CELULAS ENDOTELIAIS DA CORNEA"";16535;1071468,00"
"""0504010034 SEPARACAO E AVALIACAO BIOMICROSCOPICA DA CORNEA"";21042;7726622,40"
"""0504020013 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (05-25 GR)"";1;290,00"
"""0504020021 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (101-200 GR)"";315;557690,00"
"""0504020030 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (201-300 GR)"";21;46410,00"
"""0504020048 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (26-50 GR)"";106;64841,00"
"""0504020056 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (51-100 GR)"";552;640110,00"
"""0504030027 PROCESSAMENTO DE VALVULA CARDIACA HUMANA"";383;1428610,50"
"""0505010011 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA - APARENTADO"";2306;191706250,78"
"""0505010020 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA - NAO APARENTADO"";677;75464963,04"
"""0505010038 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE DE CORDAO UMBILICAL DE APARENTAD"";1;105071,34"
"""0505010046 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE DE CORDAO UMBILICAL DE NAO APAR"";24;2849489,36"
"""0505010054 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO - APARENTADO"";2445;203529549,03"
"""0505010062 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO - NAO APARENTADO"";601;68555188,98"
"""0505010070 TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA -"";1097;26515510,44"
"""0505010089 TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO -"";8500;225444378,22"
"""0505010097 TRANSPLANTE DE CORNEA"";20764;42712677,19"
"""0505010100 TRANSPLANTE DE CORNEA (EM CIRURGIAS COMBINADAS)"";144;163031,12"
"""0505010119 TRANSPLANTE DE CORNEA (EM REOPERACOES)"";142;159559,33"
"""0505010127 TRANSPLANTE DE ESCLERA"";528;420429,98"
"""0505010135 TRANSPLANTE DE CORNEA (EM CIRURGIAS COMBINADAS OU EM REOPERACOES)"";790;1628809,33"
"""0505020017 PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE RENAL DE DOADOR FALECIDO"";13509;63440150,99"
"""0505020025 PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE RENAL DE DOADOR VIVO"";1503;5219610,63"
"""0505020033 PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE SIMULTANEO DE PANCREAS E RIM"";125;323337,18"
"""0505020041 TRANSPLANTE DE CORACAO"";1797;102531496,11"
"""0505020050 TRANSPLANTE DE FIGADO (ORGAO DE DOADOR FALECIDO)"";9905;1061876254,41"
"""0505020068 TRANSPLANTE DE FIGADO (ORGAO DE DOADOR VIVO)"";506;56255926,65"
"""0505020076 TRANSPLANTE DE PANCREAS"";355;20582687,69"
"""0505020084 TRANSPLANTE DE PULMAO UNILATERAL"";87;6113598,63"
"""0505020092 TRANSPLANTE DE RIM (ORGAO DE DOADOR FALECIDO)"";24399;1006147566,00"
"""0505020106 TRANSPLANTE DE RIM (ORGAO DE DOADOR VIVO)"";3148;100400988,81"
"""0505020114 TRANSPLANTE SIMULTANEO DE PANCREAS E RIM"";322;19183849,01"
"""0505020122 TRANSPLANTE DE PULMAO BILATERAL"";271;27738742,93"
"""0506010058 AVALIACAO DO POSSIVEL DOADOR FALECIDO DE ORGAOS OU TECIDOS PARA TRANSPLANTES"";-;17453915,00"
"""0506020010 INTERCORRENCIA POS TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS - NAO APARENTADO (HOSPITA"";28675;3869414,65"
"""0506020029 INTERCORRENCIA POS-TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS (HOSPITAL DIA)"";11031;1488767,26"
"""0506020037 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTAD"";111783;15038710,91"
"""0506020045 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE ORGAOS / CELULAS-TRONCO HEMATOPOETICAS"";1098673;171227010,87"
"""0506020053 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE RIM - POS TRANSPLANTE CRITICO"";198498;34201568,56"
"""0506020061 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE CORACAO- POS TRANSPLANTE CRITICO"";49454;14551877,00"
"""0506020070 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE PULMAO UNI/BILATERAL - POS TRANSPLANTE CRITICO"";9393;4926034,85"
"""0506020088 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE SIMULTANEO DE RIM/PANCREAS OU PANCREAS ISOLADO- POS"";5730;1866092,72"
"""0506020096 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE FIGADO- POS TRANSPLANTE CRITICO"";109656;54803271,58"
"""0506020100 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS- POS TRA"";53901;28181971,28"
"""0506020118 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE AUTOLOGO DE CELULAS-TRONCO HEMATOPOETICAS- POS TRAN"";15156;2320321,00"
"""0506020134 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE PANCREAS - POS TRANSPLANTE CRITICO"";2367;1166598,92"
"""0603010016 METILPREDNISOLONA 500 MG INJENTAVEL (POR AMPOLA)"";15168;320080,73"
"""0603020011 CICLOSPORINA 50MG (POR CAPSULA)"";44777;130751,03"
"""0603020020 CICLOSPORINA 100MG (POR CAPSULA)"";48213;272564,47"
"""0603020038 CICLOSPORINA 100MG/ML SOLUCAO ORAL"";2427;687283,20"
"""0603020046 CICLOSPORINA 25MG (POR CAPSULA)"";38146;57219,00"
"""0603020054 CICLOSPORINA 50 MG INJETAVEL (POR FRASCO-AMPOLA)"";15888;173973,60"
"""0603020062 IMUNOGLOBULINA EQUINA ANTITIMOCITOS HUMANOS 100 MG INJETAVEL (POR FRASCO-AMPOLA 0,5 ML)"";51;5101,56"
"""0603020070 IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS 200 MG INJETAVEL (POR FRASCO-AMPOLA DE 10 ML)"";546;245700,00"
"""0603020089 IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 100 MG INJETAVEL (POR FRASCO-AMPOLA 0,5 ML)"";270;60750,00"
"""0603020097 IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 25 MG INJETAVEL (POR FRASCO-AMPOLA)"";202725;43649906,79"
"""0603020100 MUROMONABE CD3 5 MG INJETAVEL (POR AMPOLA DE 0,5 ML)"";2;1406,26"
"""0603030017 IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA DE 2 ML E 1.250 UI)"";385081;36292588,08"
"""0603030025 IMUNOGLOBULINA G 250 MG INJETAVEL (POR FRASCO)"";1621;572,69"
"""0603030033 IMUNOGLOBULINA HUMANA 1,0 G INJETAVEL (POR FRASCO)"";445291;77128367,96"
"""0603030041 IMUNOGLOBULINA HUMANA 320 MG INJETAVEL(POR FRASCO)"";85724;1842340,82"
"""0603040012 CABERGOLINA 0,5 MG (POR COMPRIMIDO)"";75113;3584801,43"
"""0603050018 ABCIXIMABE"";6724;7275232,80"
"""0603050026 CLORIDRATO DE TIROFIBANA"";23829;11585601,12"
"""0603050034 ESTREPTOQUINASE 250000 UI"";4678;377752,71"
"""0603050042 ALTEPLASE 10MG INJETAVEL ( POR FRASCO AMPOLA)"";13626;7989799,39"
"""0603050050 ALTEPLASE 20MG INJETAVEL (POR FRASCO AMPOLA)"";25426;20883242,43"
"""0603050069 ALTEPLASE 50MG INJETAVEL (POR FRASCO AMPOLA)"";21055;39987039,27"
"""0603050077 TENECTEPLASE- TNK 30 MG INJETAVEL ( POR FRASCO AMPOLA)"";57;80363,99"
"""0603050085 TENECTEPLASE - TNK 40 MG INJETAVEL (POR FRASCO AMPOLA)"";1969;8037247,58"
"""0603050093 TENECTEPLASE-TNK 50 MG INJETAVEL ( POR FRASCO AMPOLA)"";2534;11861703,51"
"""0603050107 CLOPIDOGREL 75MG (COMPRIMIDO)"";2668415;1469343,34"
"""0603060013 SURFACTANTE FRASCO-AMPOLA"";109680;62525981,24"
"""0603070019 ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)"";2710494;163446736,75"
"""0603070027 CONCENTRADO DE COMPLEXO PROTROMBINICO 500UI"";8591;1345243,36"
"""0603070035 CONCENTRADO DE COMPLEXO PROTROMBINICO ATIVADO 250 UI"";1273;218257,73"
"""0603070043 CONCENTRADO DE FATOR IX DERIVADO DE PLASMA HUMANO 500 UI"";2156;287095,20"
"""0603070051 CONCENTRADO FATOR VIII - FRASCO DE 250 UI"";7862;497456,72"
"""0603080014 BASILIXIMABE 20 MG INJETAVEL (POR FRASCO-AMPOLA) P/ TRANSPLANTE"";5412;13996575,42"
"""0603080022 CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA)"";6484;4603,64"
"""0603080030 CICLOSPORINA 100 MG P/ TRANSPLANTE (POR CAPSULA)"";137265;903262,92"
"""0603080049 CICLOSPORINA 25 MG P/ TRANSPLANTE (POR CAPSULA)"";104180;175024,75"
"""0603080057 CICLOSPORINA 50 MG P/ TRANSPLANTE (POR CAPSULA)"";92584;307378,88"
"""0603080065 DACLIZUMABE 5 MG/ ML INJETAVEL P/ TRANSPLANTE (POR FRASCO DE 5 ML)"";69;48093,00"
"""0603080081 IMUNOGLOBULINA HUMANA ANTI-HEPATITE B (POR DOSE DE 500 UI)"";6702;2353207,50"
"""0603080090 IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 100 MG INJETAVEL P/ TRANSPLANTE (POR FRASCO-AMPOL"";4;900,00"
"""0603080103 IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 25 MG INJETAVEL P/TRANSPLANTE (POR FRASCO-AMPOLA"";21692;4468890,89"
"""0603080111 IMUNOGLOBULINA OBTIDA/COELHOANTITIMOCITOS HUMANOS 200 MG INJETAVEL P/ TRANSPLANTE (POR FRASCO-AMPOLA"";403;181350,00"
"""0603080120 METILPREDNISOLONA 500MG INJETAVEL P/TRANSPLANTE(POR FRASCO AMPOLA)"";84395;1776129,95"
"""0603080138 MICOFENOLATO DE MOFETILA 500MG P/ TRANSPLANTE (POR COMPRIMIDO)"";295660;1153499,95"
"""0603080146 MICOFENOLATO DE SODIO 360MG P/ TRANSPLANTE (POR COMPRIMIDO)"";1833157;7164799,89"
"""0603080162 SIROLIMO 1MG P/ TRANSPLANTE (POR DRAGEA)"";175793;2113399,63"
